Order_id,Order_date,Customer_id,Customer_name,Product,Category,City,Quantity,Unit_price,Payment_method,Discount,Sales_amount,Region,Customer_type,Order_status
ORD0001,05-07-2026,C084,Ananya,Office Chair,Furniture,Mysore,5,8500,UPI,10%,38250,South,New,Completed
ORD0002,06-07-2026,C041,Aditya,Shoes,Clothing,Chennai,3,2800,UPI,20%,6720,South,Returning,Completed
ORD0003,07-07-2026,C089,Manoj,Table Lamp,Furniture,Mangalore,1,1800,Net Banking,10%,1620,South,Returning,Completed
ORD0004,08-07-2026,C088,Rahul,Shoes,Clothing,Bangalore,4,2800,Card,10%,10080,South,Returning,Completed
ORD0005,09-07-2026,C061,Kavya,Laptop,Electronics,Mumbai,1,55000,UPI,5%,52250,West,New,Completed
ORD0006,10-07-2026,C076,Sneha,Shoes,Clothing,Delhi,5,2800,UPI,0%,14000,North,Returning,Completed
ORD0007,11-07-2026,C034,Divya,Mixer,Home Appliances,Pune,4,3500,Net Banking,0%,14000,West,New,Completed
ORD0008,12-07-2026,C033,Isha,Keyboard,Electronics,Bangalore,2,1800,Cash,15%,3060,South,New,Cancelled
ORD0009,13-07-2026,C037,Arjun,Mouse,Electronics,Mangalore,1,900,Cash,20%,720,South,Returning,Cancelled
ORD0010,14-07-2026,C004,Manoj,Keyboard,Electronics,Mysore,1,1800,Net Banking,20%,1440,South,Returning,Completed
ORD0011,15-07-2026,C013,Arjun,Mouse,Electronics,Chennai,3,900,UPI,5%,2565,South,New,Completed
ORD0012,16-07-2026,C083,Nikhil,Vacuum Cleaner,Home Appliances,Mumbai,5,7500,Cash,15%,31875,West,Returning,Completed
ORD0013,17-07-2026,C075,Nikhil,Jeans,Clothing,Chennai,2,1800,Net Banking,15%,3060,South,Returning,Completed
ORD0014,18-07-2026,C041,Neha,T-Shirt,Clothing,Hyderabad,5,900,UPI,5%,4275,South,New,Completed
ORD0015,19-07-2026,C077,Aditya,Fan,Home Appliances,Chennai,4,2800,Cash,10%,10080,South,Returning,Completed
ORD0016,20-07-2026,C063,Suresh,Jeans,Clothing,Mysore,4,1800,UPI,20%,5760,South,Returning,Completed
ORD0017,21-07-2026,C035,Kavya,Keyboard,Electronics,Chennai,5,1800,UPI,5%,8550,South,New,Completed
ORD0018,22-07-2026,C038,Nikhil,Jacket,Clothing,Pune,1,3200,Net Banking,10%,2880,West,Returning,Cancelled
ORD0019,23-07-2026,C094,Kiran,Office Chair,Furniture,Mysore,5,8500,Card,5%,40375,South,Returning,Cancelled
ORD0020,01-05-2026,C008,Rahul,T-Shirt,Clothing,Chennai,4,900,Net Banking,20%,2880,South,New,Completed
ORD0021,07-05-2026,C018,Kavya,Bookshelf,Furniture,Chennai,1,6500,Cash,10%,5850,South,Returning,Completed
ORD0022,06-09-2026,C096,Pooja,Fan,Home Appliances,Hyderabad,1,2800,Card,15%,2380,South,Returning,Completed
ORD0023,01-08-2026,C076,Isha,Vacuum Cleaner,Home Appliances,Hyderabad,1,7500,UPI,0%,7500,South,New,Completed
ORD0024,27-11-2026,C077,Divya,Jacket,Clothing,Bangalore,3,3200,Net Banking,0%,9600,South,Returning,Returned
ORD0025,10-04-2026,C028,Rohan,T-Shirt,Clothing,Mangalore,1,900,Net Banking,20%,720,South,Returning,Completed
ORD0026,18-01-2026,C015,Neha,Bookshelf,Furniture,Hyderabad,3,6500,Net Banking,10%,17550,South,New,Completed
ORD0027,26-11-2026,C085,Asha,Shoes,Clothing,Hyderabad,1,2800,Cash,15%,2380,South,Returning,Returned
ORD0028,22-08-2026,C087,Vikram,Table Lamp,Furniture,Bangalore,3,1800,Net Banking,15%,4590,South,New,Completed
ORD0029,23-08-2026,C064,Priya,Shoes,Clothing,Chennai,1,2800,Card,15%,2380,South,Returning,Completed
ORD0030,02-04-2026,C021,Isha,Fan,Home Appliances,Bangalore,1,2800,Net Banking,15%,2380,South,Returning,Completed
ORD0031,16-06-2026,C008,Asha,Shoes,Clothing,Mangalore,5,2800,Cash,15%,11900,South,Returning,Completed
ORD0032,13-02-2026,C072,Vikram,Microwave,Home Appliances,Mysore,4,11000,Net Banking,20%,35200,South,Returning,Completed
ORD0033,23-10-2026,C051,Asha,Mixer,Home Appliances,Mumbai,3,3500,Cash,5%,9975,West,Returning,Completed
ORD0034,29-09-2026,C013,Meera,Office Chair,Furniture,Delhi,1,8500,Card,0%,8500,North,Returning,Completed
ORD0035,19-11-2026,C050,Rohan,Fan,Home Appliances,Mumbai,1,2800,Net Banking,20%,2240,West,Returning,Completed
ORD0036,28-02-2026,C060,Priya,Headphones,Electronics,Mysore,3,2500,Cash,15%,6375,South,Returning,Cancelled
ORD0037,12-06-2026,C042,Ananya,Mouse,Electronics,Hyderabad,1,900,Card,5%,855,South,New,Cancelled
ORD0038,09-12-2026,C020,Meera,Mouse,Electronics,Pune,4,900,Card,0%,3600,West,Returning,Completed
ORD0039,20-12-2026,C076,Arjun,Table Lamp,Furniture,Delhi,2,1800,Cash,10%,3240,North,Returning,Completed
ORD0040,26-09-2026,C019,Ananya,Desk,Furniture,Hyderabad,2,12000,Card,10%,21600,South,Returning,Completed
ORD0041,25-08-2026,C060,Kiran,Shoes,Clothing,Mysore,3,2800,Cash,15%,7140,South,Returning,Completed
ORD0042,07-06-2026,C047,Suresh,Vacuum Cleaner,Home Appliances,Bangalore,2,7500,Cash,10%,13500,South,New,Completed
ORD0043,23-05-2026,C084,Vikram,Headphones,Electronics,Pune,3,2500,UPI,20%,6000,West,Returning,Completed
ORD0044,06-10-2026,C025,Vikram,Laptop,Electronics,Pune,5,55000,Cash,5%,261250,West,Returning,Completed
ORD0045,04-01-2026,C027,Rahul,Mixer,Home Appliances,Hyderabad,1,3500,Net Banking,10%,3150,South,New,Returned
ORD0046,18-09-2026,C092,Sneha,T-Shirt,Clothing,Mangalore,4,900,Cash,5%,3420,South,Returning,Completed
ORD0047,29-05-2026,C044,Vikram,Fan,Home Appliances,Mumbai,5,2800,UPI,5%,13300,West,Returning,Completed
ORD0048,29-09-2026,C012,Vikram,Bookshelf,Furniture,Delhi,1,6500,Net Banking,5%,6175,North,New,Completed
ORD0049,10-12-2026,C077,Neha,Mixer,Home Appliances,Mysore,1,3500,UPI,20%,2800,South,Returning,Returned
ORD0050,05-02-2026,C055,Divya,Shoes,Clothing,Pune,3,2800,Net Banking,15%,7140,West,Returning,Returned
ORD0051,09-09-2026,C041,Rohan,Smartphone,Electronics,Hyderabad,4,32000,Card,20%,102400,South,New,Completed
ORD0052,27-03-2026,C070,Arjun,Microwave,Home Appliances,Mysore,1,11000,UPI,5%,10450,South,Returning,Cancelled
ORD0053,13-08-2026,C100,Rohan,Fan,Home Appliances,Mangalore,5,2800,Card,5%,13300,South,New,Completed
ORD0054,15-09-2026,C082,Rohan,Keyboard,Electronics,Mysore,4,1800,UPI,5%,6840,South,Returning,Completed
ORD0055,16-01-2026,C057,Pooja,Laptop,Electronics,Pune,1,55000,UPI,0%,55000,West,Returning,Completed
ORD0056,06-06-2026,C077,Aditya,Jeans,Clothing,Pune,1,1800,Cash,0%,1800,West,Returning,Completed
ORD0057,28-03-2026,C098,Vikram,Keyboard,Electronics,Bangalore,1,1800,Card,5%,1710,South,New,Completed
ORD0058,02-09-2026,C045,Amit,Mouse,Electronics,Bangalore,3,900,UPI,0%,2700,South,New,Completed
ORD0059,17-03-2026,C075,Neha,Smartphone,Electronics,Hyderabad,1,32000,Cash,0%,32000,South,Returning,Completed
ORD0060,20-05-2026,C014,Vikram,Jacket,Clothing,Mumbai,2,3200,UPI,5%,6080,West,Returning,Completed
ORD0061,15-08-2026,C015,Pooja,Desk,Furniture,Mangalore,4,12000,Cash,15%,40800,South,Returning,Completed
ORD0062,04-05-2026,C097,Sneha,Office Chair,Furniture,Chennai,2,8500,Cash,0%,17000,South,New,Cancelled
ORD0063,01-05-2026,C062,Pooja,Vacuum Cleaner,Home Appliances,Bangalore,1,7500,Card,15%,6375,South,Returning,Completed
ORD0064,04-05-2026,C050,Pooja,Vacuum Cleaner,Home Appliances,Mysore,5,7500,Card,5%,35625,South,Returning,Returned
ORD0065,13-03-2026,C079,Ananya,Mixer,Home Appliances,Chennai,1,3500,UPI,20%,2800,South,Returning,Completed
ORD0066,28-11-2026,C023,Vikram,Fan,Home Appliances,Delhi,2,2800,Cash,15%,4760,North,New,Completed
ORD0067,08-02-2026,C009,Suresh,T-Shirt,Clothing,Hyderabad,1,900,Net Banking,0%,900,South,Returning,Completed
ORD0068,10-08-2026,C041,Vikram,Microwave,Home Appliances,Mumbai,4,11000,Card,15%,37400,West,New,Completed
ORD0069,08-05-2026,C068,Priya,Microwave,Home Appliances,Pune,1,11000,Net Banking,10%,9900,West,Returning,Completed
ORD0070,13-01-2026,C031,Pooja,Office Chair,Furniture,Mysore,1,8500,Card,10%,7650,South,Returning,Completed
ORD0071,05-08-2026,C042,Neha,Microwave,Home Appliances,Pune,2,11000,Card,5%,20900,West,Returning,Completed
ORD0072,20-07-2026,C067,Suresh,Jacket,Clothing,Bangalore,2,3200,Cash,5%,6080,South,New,Completed
ORD0073,18-04-2026,C032,Rahul,Vacuum Cleaner,Home Appliances,Mysore,3,7500,Card,15%,19125,South,Returning,Returned
ORD0074,18-07-2026,C045,Neha,T-Shirt,Clothing,Bangalore,3,900,Net Banking,0%,2700,South,Returning,Completed
ORD0075,25-10-2026,C038,Manoj,Laptop,Electronics,Bangalore,1,55000,Card,5%,52250,South,New,Completed
ORD0076,28-02-2026,C039,Vikram,Office Chair,Furniture,Mysore,4,8500,UPI,20%,27200,South,Returning,Completed
ORD0077,21-06-2026,C056,Isha,Office Chair,Furniture,Bangalore,3,8500,Net Banking,10%,22950,South,Returning,Completed
ORD0078,03-06-2026,C078,Asha,Shoes,Clothing,Mangalore,1,2800,Card,15%,2380,South,Returning,Completed
ORD0079,22-04-2026,C082,Kavya,T-Shirt,Clothing,Mysore,1,900,Cash,20%,720,South,Returning,Completed
ORD0080,25-09-2026,C013,Vikram,Desk,Furniture,Hyderabad,1,12000,Net Banking,0%,12000,South,Returning,Completed
ORD0081,11-12-2026,C078,Kavya,Table Lamp,Furniture,Hyderabad,3,1800,Net Banking,5%,5130,South,Returning,Completed
ORD0082,28-08-2026,C077,Priya,Laptop,Electronics,Mysore,5,55000,UPI,10%,247500,South,New,Cancelled
ORD0083,08-02-2026,C058,Meera,Headphones,Electronics,Chennai,4,2500,Net Banking,10%,9000,South,Returning,Completed
ORD0084,24-07-2026,C069,Vikram,Headphones,Electronics,Delhi,1,2500,Cash,5%,2375,North,Returning,Completed
ORD0085,23-05-2026,C026,Priya,Headphones,Electronics,Mysore,5,2500,Cash,15%,10625,South,Returning,Cancelled
ORD0086,24-06-2026,C038,Priya,Smartphone,Electronics,Pune,5,32000,Cash,0%,160000,West,New,Completed
ORD0087,17-09-2026,C075,Neha,Jacket,Clothing,Mumbai,4,3200,Net Banking,10%,11520,West,Returning,Completed
ORD0088,09-03-2026,C088,Sneha,Bookshelf,Furniture,Pune,5,6500,Net Banking,20%,26000,West,Returning,Completed
ORD0089,20-10-2026,C035,Kavya,Bookshelf,Furniture,Hyderabad,3,6500,UPI,5%,18525,South,Returning,Completed
ORD0090,29-03-2026,C082,Suresh,Laptop,Electronics,Chennai,1,55000,UPI,5%,52250,South,Returning,Completed
